id	score
YJR094W-A	52.94
YJR112W-A	63.55
YJR145C	49.62
YKL002W	66.99
YKL006C-A	50.70
YKL006W	62.67
YKL081W	63.55
YKL150W	45.69
YKL156W	61.71
YKL157W	58.76
YKL180W	39.83
YKL186C	41.30
YKL190W	55.77
YKR004C	42.60
YKR005C	38.85
YKR057W	55.46
YKR094C	48.24
YKR095W-A	30.68
YLL050C	42.63
YLL066C	7.90
YLL067C	7.90
YLR048W	54.14
YLR054C	30.23
YLR061W	38.52
YLR078C	48.07
YLR093C	75.14
YLR128W	59.68
YLR185W	43.48
YLR199C	53.72
YLR202C	36.32
YLR211C	35.86
YLR275W	47.41
YLR287C-A	39.21
YLR306W	53.09
YLR316C	51.57
YLR316C	71.02
YLR329W	50.62
YLR333C	62.77
YLR344W	56.99
YLR367W	45.25
YLR367W	62.46
YLR388W	63.99
YLR406C	53.57
YLR426W	58.26
YLR445W	42.49
YLR448W	48.77
YLR464W	53.43
YML017W	38.94
YML024W	66.85
YML025C	40.06
YML026C	51.18
YML034W	20.09
YML036W	73.39
YML056C	54.82
YML067C	49.21
YML073C	53.71
YML085C	67.71
YML094W	67.77
YML124C	58.47
YML133C	7.90
YMR033W	43.20
YMR079W	48.04
YMR116C	69.31
YMR125W	68.52
YMR133W	59.55
YMR142C	55.15
YMR143W	45.12
YMR194C-B	32.55
YMR194W	53.60
YMR201C	57.36
YMR225C	68.61
YMR230W	65.46
YMR242C	22.88
YMR292W	65.02
YNL004W	64.54
YNL012W	43.56
YNL038W	42.76
YNL044W	38.60
YNL050C	36.04
YNL066W	67.28
YNL069C	60.29
YNL096C	72.54
YNL112W	62.26
YNL130C	56.17
YNL138W-A	70.73
YNL147W	48.45
YNL162W	69.29
YNL246W	45.26
YNL265C	57.28
YNL301C	44.61
YNL302C	40.57
YNL312W	55.07
YNL339C	40.72
YNR053C	48.22
YOL047C	50.71
YOL048C	35.85
YOL120C	51.82
YOL121C	40.29
YOL127W	42.96
YOR096W	65.36
YOR122C	46.49
YOR182C	69.76
YOR234C	55.97
YOR293W	66.35
YOR312C	70.91
YOR318C	17.79
YPL031C	47.21
YPL075W	43.58
YPL079W	57.37
YPL081W	34.04
YPL090C	52.89
YPL109C	25.95
YPL129W	47.96
YPL143W	57.32
YPL175W	32.88
YPL198W	52.44
YPL198W	44.04
YPL218W	39.48
YPL230W	50.72
YPL241C	62.41
YPL249C-A	46.90
YPL283C	40.72
YPR010C-A	43.15
YPR028W	53.65
YPR043W	49.33
YPR063C	35.51
YPR098C	49.39
YPR132W	72.21
YPR153W	57.57
YPR170W-B	48.46
YPR187W	39.62
YPR202W	40.72
